TBM,,,32.502,TAG RT FT JN19027
10258,5047.739,4863.839,29.804,2.201
10259,5047.822,4862.039,29.748,2.201
10260,5047.598,4862.112,29.747,2.201
10261,5041.445,4862.216,25.866,2.201
10262,5037.057,4862.226,25.879,2.201
10263,5036.929,4858.221,25.817,2.201
10264,5036.842,4853.181,22.461,2.201
10265,5036.643,4848.777,22.412,2.201
10266,5041.695,4848.801,22.337,2.201
10267,5045.804,4848.923,19.611,2.201
10268,5049.173,4848.950,19.492,2.201E
10269,5049.161,4848.958,19.495,156 X 201
10270,5049.256,4848.817,19.463,2.111
10271,5054.500,4848.815,19.488,2.111E
10272,5054.530,4849.017,19.512,156 X 201
10273,5054.689,4849.016,19.495,2.201
10274,5056.640,4849.231,19.571,2.201
10275,5056.491,4852.522,19.577,2.201
10276,5045.845,4852.424,19.519,2.201
10277,5041.769,4852.810,22.334,2.201
10278,5040.592,4853.027,22.399,2.201
10279,5040.721,4858.359,25.806,2.201
10280,5041.247,4858.473,25.826,2.201
10281,5047.363,4858.132,29.802,2.201
10282,5051.520,4858.147,29.841,2.201
10283,5056.576,4858.069,29.940,2.201
10284,5056.687,4863.307,29.933,2.201E
10285,5056.788,4863.312,29.936,2.111
10286,5051.366,4863.565,29.856,2.111
10287,5051.420,4867.430,29.920,2.111E
10288,5043.192,4857.423,30.259,TW
10289,5041.386,4857.544,29.729,TW
10290,5041.567,4856.311,26.670,TW
10291,5042.743,4856.655,25.916,159
10292,5042.742,4856.656,25.917,1.303
10293,5042.184,4856.530,26.139,1.303
10294,5042.159,4854.248,25.857,1.303
10295,5050.350,4854.181,25.946,1.303
10296,5057.012,4854.071,25.981,1.303
10297,5057.178,4855.873,26.026,1.303E
10298,5057.136,4855.876,26.026,159
10299,5057.607,4855.065,27.337,TW
10300,5057.487,4853.519,26.595,TW
10301,5057.526,4851.292,23.958,TW
10302,5055.412,4848.871,22.793,TW
10303,5027.023,4862.275,27.740,150
10304,5009.050,4863.340,28.388,150
10305,4990.554,4863.721,28.626,150
10306,4990.593,4878.807,36.918,150
10307,5013.335,4877.175,36.458,150
10308,5040.045,4879.383,36.568,150
10309,4978.775,4995.703,38.981,2.201
10310,4976.324,4992.074,39.018,2.201
10311,4975.945,4988.183,39.271,2.201E
10312,4975.943,4988.151,39.269,159
10313,4979.075,4988.418,39.627,175 20 CLUSTER
10314,4979.263,4983.803,39.286,156 X 2.35 303
10315,4979.264,4983.800,39.286,1.303
10316,4979.213,4981.413,39.400,1.303E
10317,4979.207,4981.418,39.400,156 X 2.35 303
10318,4979.271,4981.783,49.796,TW
10319,4978.447,4980.627,39.865,159
10320,4978.467,4980.547,39.863,2.201
