3103,9918.598,9875.249,0.000,BD point
3104,9989.698,9825.459,0.000,BD point
3105,10051.519,9906.111,0.000,BD point
3106,10138.855,10020.049,0.000,BD point
3107,10111.339,10029.660,0.000,BD point
3108,10057.599,9979.948,0.000,BD point
3109,10099.104,9994.665,0.000,BD point
3110,10036.426,10055.824,0.000,BD point
3111,10215.913,10083.784,0.000,BD point
3112,9972.583,10132.792,0.000,BD point
3113,10394.747,10264.143,0.000,BD point
3114,9930.608,10269.543,0.000,BD point
3115,10122.125,10038.655,0.000,BD point
4201,9983.593,9969.360,0.000,AB shoring caisson
4202,9988.089,9976.249,0.000,AB shoring caisson
4203,9992.585,9983.138,0.000,AB shoring caisson
4204,9997.080,9990.027,0.000,AB shoring caisson
4205,10001.618,9995.706,0.000,AB shoring caisson
4206,10005.114,9995.273,0.000,AB shoring caisson
4207,10008.825,9993.975,0.000,AB shoring caisson
4208,10012.601,9992.655,0.000,AB shoring caisson
4209,10016.377,9991.335,0.000,AB shoring caisson
4210,10020.153,9990.015,0.000,AB shoring caisson
4211,10023.929,9988.695,0.000,AB shoring caisson
4212,10027.704,9987.375,0.000,AB shoring caisson
4213,10031.480,9986.055,0.000,AB shoring caisson
4214,10035.256,9984.734,0.000,AB shoring caisson
4215,10039.032,9983.414,0.000,AB shoring caisson
4216,10042.808,9982.094,0.000,AB shoring caisson
4217,10046.584,9980.774,0.000,AB shoring caisson
4218,10050.360,9979.454,0.000,AB shoring caisson
4219,10054.136,9978.134,0.000,AB shoring caisson
4220,10058.318,9976.953,0.000,AB shoring caisson
4227,10097.746,9991.410,0.000,AB shoring caisson
4228,10096.112,9984.425,0.000,AB shoring caisson
4229,10097.937,9979.261,0.000,AB shoring caisson
4241,9981.574,9932.348,0.000,AB pool caisson
4242,9986.615,9934.699,0.000,AB pool caisson
4243,9991.626,9936.195,0.000,AB pool caisson
4244,9996.788,9936.974,0.000,AB pool caisson
4245,10002.146,9937.009,0.000,AB pool caisson
4246,10007.379,9936.232,0.000,AB pool caisson
4247,10011.906,9933.746,0.000,AB pool caisson
4248,10016.956,9931.247,0.000,AB pool caisson
4249,10023.575,9938.472,0.000,AB building caisson
4250,10034.311,9942.274,0.000,AB building caisson
4251,10043.371,9945.482,0.000,AB building caisson
4252,10050.912,9948.153,0.000,AB building caisson
4253,10058.453,9950.823,0.000,AB building caisson
4254,10065.994,9953.494,0.000,AB building caisson
4255,10073.191,9956.042,0.000,AB building caisson
4256,10081.075,9961.115,0.000,AB building caisson
4257,10088.578,9966.359,0.000,AB building caisson
4258,10094.741,9972.765,0.000,AB building caisson
4259,10104.981,9989.639,0.000,AB building caisson
4260,10110.325,9993.152,0.000,AB building caisson
4261,10112.535,9998.272,0.000,AB building caisson
4262,10114.990,10004.405,0.000,AB building caisson
4301,10003.467,9988.728,0.000,AC trestle CL
4302,9999.504,9977.402,0.000,AC trestle CL
4303,9995.540,9966.076,0.000,AC trestle CL
4304,10012.530,9960.130,0.000,AC trestle CL
4305,10016.200,9971.559,0.000,AC trestle CL
4306,10020.457,9982.783,0.000,AC trestle CL
4307,10037.447,9976.837,0.000,AC trestle CL
4308,10033.483,9965.511,0.000,AC trestle CL
4309,10029.520,9954.185,0.000,AC trestle CL
4310,10046.509,9948.239,0.000,AC trestle CL
4311,10050.473,9959.566,0.000,AC trestle CL
4312,10054.437,9970.892,0.000,AC trestle CL
4313,10057.588,9969.789,0.000,AC trestle CL
4314,10054.303,9959.085,0.000,AC trestle CL
4315,10057.299,9950.598,0.000,AC trestle CL
4316,10074.272,9956.590,0.000,AC trestle CL
4317,10071.276,9965.077,0.000,AC trestle CL
4318,10068.281,9973.564,0.000,AC trestle CL
4319,10085.254,9979.555,0.000,AC trestle CL
4320,10088.250,9971.069,0.000,AC trestle CL
4321,10091.246,9962.582,0.000,AC trestle CL
4401,10136.077,10036.612,0.000,AD Exist 24 SD
4402,10123.827,10003.874,0.000,AD Exist 24 SD
4403,10123.248,9983.916,0.000,AD Exist 24 SD
4501,10119.649,9994.996,0.000,AE SD easement exist
4502,10119.875,10003.507,0.000,AE SD easement exist/prop
4503,10122.445,10010.333,0.000,AE SD easement prop
